,FacilityName,StreeetNo,StreetName_Suffix,StreetDirection,UnitNumber,Municipality,Telephone,Fax,Address,Latitude,Longitude
0,No Frills,1135,Thompson Road,,,Fort Erie,(905) 994-8254,(905) 994-8257,"1135, Thompson Road, Fort Erie",42.907466,-78.94367
1,Sobey's,450,Garrison Road,,,Fort Erie,(905) 871-0463,(905) 871-5044,"450, Garrison Road, Fort Erie",42.9062748,-78.9302848
2,Shoppers Drug Mart,42,St Andrews Avenue,,1,Grimsby,(905) 945-9775,(905) 945-7705,"42, St Andrews Avenue, Grimsby",43.196783,-79.56770089999999
3,Shoppers Drug Mart,5125,Montrose Road,,,Niagara Falls,(905) 357-1100,,"5125, Montrose Road, Niagara Falls",43.09993,-79.1245345
4,Busy Bee Food Mart,5203,Victoria Avenue,,,Niagara Falls,(905) 353-8382,,"5203, Victoria Avenue, Niagara Falls",43.09907399999999,-79.07333299999999
5,Big Bee Convenience & Food Mart,81,Queenston Street,,,St. Catharines,(905) 984-6632,,"81, Queenston Street, St. Catharines",43.1635263,-79.23579749999999
6,Outlet Collection at Niagara- Pepper Palace,300,Taylor Rd.,,729,Niagara-on-the-Lake,(905) 685-3232,,"300, Taylor Rd., Niagara-on-the-Lake",43.1591107,-79.17558389999999
7,Celi & Presti Supermarket,390,Crowland Avenue,,,Welland,(905) 734-7166,905-734-7067,"390, Crowland Avenue, Welland",42.9843648,-79.2358629
8,Polonez Meat Market,25,Facer Street,,,St. Catharines,(905) 938-0348,,"25, Facer Street, St. Catharines",43.1752702,-79.22750820000002
9,Walmart,102,Primeway Drive,,,Welland,(905) 735-3500,,"102, Primeway Drive, Welland",43.0170226,-79.2275873
10,Antipasto di Roma ,87,Hannover Drive,,,St. Catharines,(905) 641-5211,,"87, Hannover Drive, St. Catharines",43.1743074,-79.27872060000001
11,Food Basics,124,Clarence Street,,,Port Colborne,(905) 834-8800,(905) 834-8900,"124, Clarence Street, Port Colborne",42.8855219,-79.2546967
12,Metro,101,Lakeshore Road,,,St. Catharines,(905) 934-0131,,"101, Lakeshore Road, St. Catharines",43.2045156,-79.2445913
13,Shoppers Drug Mart,815,Ontario Road,,,Welland,905-788-2111,,"815, Ontario Road, Welland",42.9760194,-79.2403518
