FacilityName,StreeetNo,StreetName_Suffix,StreetDirection,UnitNumber,Municipality,Telephone,Fax
No Frills,1135,Thompson Road,,,Fort Erie,(905) 994-8254,(905) 994-8257
Sobey's,450,Garrison Road,,,Fort Erie,(905) 871-0463,(905) 871-5044
Shoppers Drug Mart,42,St Andrews Avenue,,1,Grimsby,(905) 945-9775,(905) 945-7705
Shoppers Drug Mart,5125,Montrose Road,,,Niagara Falls,(905) 357-1100,NULL
Busy Bee Food Mart,5203,Victoria Avenue,,,Niagara Falls,(905) 353-8382,NULL
Big Bee Convenience & Food Mart,81,Queenston Street,,,St. Catharines,(905) 984-6632,NULL
Outlet Collection at Niagara- Pepper Palace,300,Taylor Rd.,,729,Niagara-on-the-Lake,(905) 685-3232,NULL
Celi & Presti Supermarket,390,Crowland Avenue,,,Welland,(905) 734-7166,905-734-7067
Polonez Meat Market,25,Facer Street,,,St. Catharines,(905) 938-0348,NULL
Walmart,102,Primeway Drive,,,Welland,(905) 735-3500,NULL
Antipasto di Roma ,87,Hannover Drive,,,St. Catharines,(905) 641-5211,NULL
Food Basics,124,Clarence Street,,,Port Colborne,(905) 834-8800,(905) 834-8900
Metro,101,Lakeshore Road,,,St. Catharines,(905) 934-0131,NULL
Shoppers Drug Mart,815,Ontario Road,,,Welland,905-788-2111,NULL
Al Noor,121,Geneva Street,,,St. Catharines,(905) 688-0000,905-688-0006
Sobey's,287,Westside Rd.,,,Port Colborne,(905) 834-0220,NULL
British Grocer Niagara,3643,Portage Road,,31,Niagara Falls,(905) 354-8882,NULL
FreshCo,5931,Kalar Road,,,Niagara Falls,(905) 371-3113,NULL
FreshCo,835,Ontario Road,,,Welland,(905) 735-2525,(905) 788-1041
Roman Cheese ,4916,Montrose Road,,,Niagara Falls,(905) 356-2640,NULL
Giant Tiger,6161,Thorold Stone Road,,,Niagara Falls,(905) 371-9697,(905) 371-8999
Dinh Dinh Asian Foods,79,Geneva Street,,,St. Catharines,(905) 685-4977,NULL
Hendriks ValuMart ,130,Queen Street,,,Niagara-on-the-Lake,(905) 468-7731,(905) 468-8437
Commisso's Fresh Food,6161,Thorold Stone Rd.,,14,Niagara Falls,(905) 357-6600,(905) 357-6604
Walmart,285,Geneva Street,,,St. Catharines,(905) 646-4566,NULL
Tigchelaar Berry Farms Market,4297,Jordan Rd.,,,Lincoln,(905) 981-6962,NULL
ValuMart,1551,Niagara Stone Road,,,Niagara-on-the-Lake,(905) 468-3286,NULL
Kurtz Country Market,16006,Niagara Parkway,,,Niagara-on-the-Lake,(905) 468-2937,(905) 468-7479
Cheese Secrets,38,Market Street,,,Niagara-on-the-Lake,(905) 468-2555,NULL
No Frills,390,Lincoln Street,E,,Welland,(905) 732-3367,905-732-4176
Sobey's,34,Livingston Avenue,,,Grimsby,(905) 945-9973,NULL
Shoppers Drug Mart,6565,Lundy's Lane,,,Niagara Falls,(905) 354-3845,NULL
Gallagher's,346,Highway 20,W,,Pelham,(905) 892-0698,NULL
Peanut Mill,191,Welland Avenue,,,St. Catharines,(905) 685-8848,NULL
Sobey's ,609,South Pelham Road,,,Welland,(905) 735-7467,NULL
Joe's ValuMart,311,Gorham Road,,,Fort Erie,(905) 894-5266,(905) 894-3044
Real Canadian Superstore,411,Louth Street,,,St. Catharines,(905) 984-8408,(905) 984-8606
FreshCo,318,Ontario Street,,,St. Catharines,(905) 684-8597,NULL
Food Basics,325,Thorold Road,,,Welland,(905) 735-4320,NULL
T & K Eastern Import,365,Vine Street,,,St. Catharines,(905) 646-9840,NULL
Food Basics,6770,McLeod Road,,,Niagara Falls,(905) 356-1103,(905) 356-1529
Shoppers Drug Mart,20,Highway 20,E,,Pelham,905-892-5791,905-892-1020
Shoppers Drug Mart,275,Fourth Avenue,,,St. Catharines,(905) 641-2244,(905) 641-1751
Food Basics,275,Geneva Street,,,St. Catharines,(905) 937-6523,NULL
No Frills - Brent & Jenny's,53,Westside Road,,,Port Colborne,(905) 834-5577,(905) 834-8903
Outlet Collection at Niagara- Davids Tea,300,Taylor Rd.,,725,Niagara-on-the-Lake,(905) 685-1734,NULL
No Frills,4961,King Street,,,Lincoln,(905) 563-4246,(905) 563-1932
Costco,3,North Service Road,,,St. Catharines,(905) 646-2008,NULL
The New Food Box,7000,McLeod Road,,,Niagara Falls,(905) 357-6377,NULL
Sobey's,110,Highway 20,E,,Pelham,(905) 892-2570,NULL
Shoppers Drug Mart,5175,Victoria Avenue,,,Niagara Falls,(905) 356-5096,(905) 356-6176
Foodland,9,Pine Street,N,,Thorold,(905) 227-0533,NULL
Foodland,176,Griffin Street,,,West Lincoln,(905) 957-7015,NULL
Sobey's,4610,Ontario Street,,,Lincoln,(905) 563-1088,NULL
Lococo's,4167,Victoria Avenue,,,Niagara Falls,905-358-3281,905-358-0384
Zehrs,821,Niagara Street,,,Welland,(905) 732-9377,(905) 732-9216
Walmart,420,Vansickle Drive,,,St. Catharines,(905) 687-9212,NULL
Food Basics,3770,Montrose Road,,,Niagara Falls,(905) 371-3200,NULL
Foodland,3357,King Street,,,Lincoln,(905) 562-5881,(905) 562-3322
Walmart ,7481,Oakwood Drive,,,Niagara Falls,(905) 371-3999,NULL
Bamboo Natural Food Market Inc,211,Martindale Road,,1B,St. Catharines,(289) 362-5637,(289) 362-5923
Sobey's,3714,Portage Rd.,,,Niagara Falls,(905)-371-2270,(905) 371-2525
Zehrs,6940,Morrison Street,,,Niagara Falls,(905) 358-5544,(905) 358-0982
Meg Africana,1A,Wiley Street,,,St. Catharines,(289) 362-2445,NULL
Food Basics,63,Main Street,W,,Grimsby,(905) 945-3323,(905) 945-7222
No Frills,6460,Lundy's Lane,,,Niagara Falls,(905) 357-4623,(905) 357-3863
Shoppers Drug Mart,387,Scott Street,,,St. Catharines,(905) 934-4260,NULL
Real Canadian Superstore,361,South Service Road ,,,Grimsby,(905) 309-3911,NULL
Fiesta Filipino,8003,Lundy's Lane,,,Niagara Falls,(905) 357-3758,NULL
Rexall Drug Store ,258,Lake Street,,,St. Catharines,(905) 684-2305,(905) 684-0620
Zehrs,285,Geneva Street,,,St. Catharines,(905) 646-7671,NULL
Shoppers Drug Mart,150,Main Street,E,,Grimsby,(905) 945-5422,NULL
Shoppers Drug Mart,3703,Portage Road,,,Niagara Falls,(905) 354-3871,NULL
No Frills - Mark's,581,Lake Street,,,St. Catharines,(905) 937-4290,(905) 937-6219
Shoppers Drug Mart,800,Niagara Street ,,,Welland,(905) 735-7525,NULL
Foodland,8251,Dock Street,,,Niagara Falls,(905) 295-6133,NULL
National Grocers Cash & Carry,5772,Main Street,,,Niagara Falls,(905) 356-4795,NULL
Orchard Glen Farm Market,116,Four Mile Creek Road,,,Niagara-on-the-Lake,(905) 262-5531,NULL
Sobey's,400,Scott Street,,,St. Catharines,(905) 935-9974,NULL
Shoppers Drug Mart,600,Ontario Street,,,St. Catharines,(905) 937-3532,(905) 937-1488
No Frills - Ron's ,525,Welland Avenue,,,St. Catharines,(905) 685-4096,NULL
Walmart,525,Welland Avenue,,,St. Catharines,(905) 685-4100,NULL
National Grocers Cash & Carry,189,Bunting Road,,,St. Catharines,(905) 685-5462,NULL
Pistachio's,526,Welland Avenue,,,St. Catharines,(905) 684-3312,NULL
Sobey's,343,Glendale Avenue,,,St. Catharines,(905) 680-8563,
Food Basics,149,Hartzel Road,,,St. Catharines,(905) 684-7439,
Zehrs,221,Glendale Avenue,,,St. Catharines,(905) 984-3420,
FreshCo,286,Bunting Road,,,St. Catharines,(905) 687-9462,
Elda's Store Latin & Jamaican Products,278,Bunting Road,,2,St. Catharines,(289) 362-0369,
Pupo's Food Market,195,Maple Avenue,,,Welland,(905) 735-8401,
Walmart,750,Garrison Road,,,Fort Erie,(905) 991-9971,
Shoppers Drug Mart,125,Carlton Street,,8A,St. Catharines,(905) 688-2132,(905) 688-2722
Giant Tiger,200,Fitch Street,,,Welland,905-735-0963,
Giant Tiger,350,Scott Street,,,St. Catharines,(905) 934-7823,
Giant Tiger,120,Welland Avenue,,,St. Catharines,(905) 685-1167,
Giant Tiger,20,Highway 20,East,,Pelham,(905) 892-5735,
Giant Tiger,36,Main Street,West,,Grimsby,(905) 309-4511,
Giant Tiger,249,St Catharines Street,,,West Lincoln,(905) 957-1855,
